Artist,Category,Streams,Revenue (USD),Country,Year,Most Popular Song,Subscription Type,Age Group,Danceability,Energy,Tempo,Valence
Taylor Swift,Pop,848122,43022.63,South Africa,2021,The Way I Loved You (Taylor’s Version),Free,13-17,,,,
Taylor Swift,Pop,345239,18903.41,UK,2023,Forever & Always (Taylor’s Version),Free,25-34,,,,
Taylor Swift,Pop,53551,3739.1,Mexico,2023,The Best Day (Taylor’s Version),Free,18-24,,,,
Taylor Swift,Pop,586321,21491.28,Spain,2023,Change (Taylor’s Version),Premium,35-44,,,,
Taylor Swift,Pop,810946,40588.96,Netherlands,2021,Jump Then Fall (Taylor’s Version),Premium,25-34,,,,
Taylor Swift,Pop,69312,3164.86,Netherlands,2020,Untouchable (Taylor’s Version),Premium,35-44,,,,
Taylor Swift,Pop,540224,18923.4,India,2023,Forever & Always (Piano Version) (Taylor’s Version),Free,35-44,,,,
Taylor Swift,Pop,247494,10226.82,South Africa,2022,Come In With The Rain (Taylor’s Version),Premium,45+,,,,
Taylor Swift,Pop,430385,12948.31,South Korea,2020,Superstar (Taylor’s Version),Free,13-17,,,,
Taylor Swift,Pop,192077,6463.54,South Korea,2022,The Other Side Of The Door (Taylor’s Version),Free,18-24,,,,
Taylor Swift,Pop,490853,17128.15,Australia,2020,Today Was A Fairytale (Taylor’s Version),Premium,13-17,,,,
Billie Eilish,Pop,63264,3114.23,Canada,2022,SKINNY,Premium,18-24,,,,
Billie Eilish,Pop,366363,11323.34,South Korea,2020,LUNCH,Premium,35-44,,,,
Billie Eilish,Pop,881303,31089.4,France,2021,CHIHIRO,Free,25-34,,,,
Billie Eilish,Pop,830962,25835.28,Australia,2021,BIRDS OF A FEATHER,Free,45+,,,,
Billie Eilish,Pop,667108,24809.22,Brazil,2024,WILDFLOWER,Free,45+,,,,
Billie Eilish,Pop,267582,9152.98,Mexico,2021,THE GREATEST,Free,35-44,,,,
Billie Eilish,Pop,759856,37112.57,India,2024,L’AMOUR DE MA VIE,Free,45+,,,,
Billie Eilish,Pop,482366,15596.86,Japan,2024,THE DINER,Premium,45+,,,,
Billie Eilish,Pop,194441,11872.02,Italy,2019,BITTERSUITE,Premium,35-44,,,,
Billie Eilish,Pop,834733,39243.53,Canada,2024,BLUE,Free,45+,,,,
Billie Eilish,Pop,264084,9045.87,Canada,2024,Getting Older,Free,45+,,,,
Billie Eilish,Pop,617240,27647.37,France,2020,I Didn't Change My Number,Free,35-44,,,,
Billie Eilish,Pop,161133,9411.05,South Africa,2020,Billie Bossa Nova,Premium,13-17,,,,
Billie Eilish,Pop,864371,32752.01,Canada,2024,my future,Free,35-44,,,,
Billie Eilish,Pop,553561,34670.46,Australia,2021,Oxytocin,Free,25-34,,,,
Billie Eilish,Pop,968134,29868.85,USA,2019,GOLDWING,Free,25-34,,,,
Billie Eilish,Pop,107396,5421.97,India,2019,Lost Cause,Free,25-34,,,,
Billie Eilish,Pop,294017,11983.62,Japan,2019,Halley's Comet,Premium,18-24,,,,
Billie Eilish,Pop,576777,38176.02,France,2020,Not My Responsibility,Free,25-34,,,,
Billie Eilish,Pop,396751,18024.91,UK,2023,OverHeated,Premium,18-24,,,,
Billie Eilish,Pop,657735,45179.46,USA,2022,Everybody Dies,Free,13-17,,,,
Billie Eilish,Pop,309461,11188.32,India,2021,Your Power,Premium,35-44,,,,
Billie Eilish,Pop,915420,27472.93,India,2024,NDA,Free,25-34,,,,
Billie Eilish,Pop,272630,8782.59,Mexico,2024,Therefore I Am,Premium,25-34,,,,
Billie Eilish,Pop,152723,6734.88,South Korea,2021,Happier Than Ever,Premium,18-24,,,,
Billie Eilish,Pop,300082,13636.19,Australia,2022,Male Fantasy,Premium,35-44,,,,
Billie Eilish,Pop,916669,52903.67,South Korea,2023,!!!!!!!,Premium,18-24,,,,
Billie Eilish,Pop,994162,50637.88,Mexico,2019,bad guy,Free,25-34,,,,
Billie Eilish,Pop,193985,13152.51,Netherlands,2023,xanny,Premium,13-17,,,,
Billie Eilish,Pop,923201,31813.69,Mexico,2020,you should see me in a crown,Free,45+,,,,
Billie Eilish,Pop,476515,24243.62,Japan,2022,all the good girls go to hell,Premium,13-17,,,,
Billie Eilish,Pop,610213,22480.22,South Korea,2021,wish you were gay,Premium,13-17,,,,
Billie Eilish,Pop,284142,16111.93,Canada,2024,when the party's over,Premium,35-44,,,,
Billie Eilish,Pop,477754,21543.26,Germany,2024,8,Premium,35-44,,,,
Billie Eilish,Pop,682692,39879.29,India,2024,my strange addiction,Premium,25-34,,,,
Billie Eilish,Pop,912320,56145.87,South Africa,2022,bury a friend,Premium,35-44,,,,
Billie Eilish,Pop,712384,30366.55,South Korea,2019,ilomilo,Free,13-17,,,,
Billie Eilish,Pop,593477,25994.77,India,2020,listen before i go,Free,35-44,,,,
Billie Eilish,Pop,620402,41200.05,USA,2023,i love you,Premium,45+,,,,
Billie Eilish,Pop,164976,6882.44,Netherlands,2021,goodbye,Free,25-34,,,,
Billie Eilish,Pop,848500,43185.05,France,2021,Guess featuring billie eilish,Premium,18-24,,,,
Billie Eilish,Pop,711411,36387.09,Italy,2019,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],Premium,13-17,,,,
Billie Eilish,Pop,953118,61908.88,UK,2020,"What Was I Made For? [From The Motion Picture ""Barbie""]",Premium,18-24,,,,
Billie Eilish,Pop,852438,41625.22,France,2021,hotline (edit),Premium,13-17,,,,
Billie Eilish,Pop,411272,13617.49,Mexico,2021,TV,Free,35-44,,,,
Billie Eilish,Pop,71601,4939.15,South Korea,2019,The 30th,Free,35-44,,,,
Billie Eilish,Pop,962751,44427.77,USA,2024,Happier Than Ever - Edit,Premium,45+,,,,
Billie Eilish,Pop,490429,19655.38,Japan,2024,ilomilo - Live From The Film - Billie Eilish: The World’s A Little Blurry,Free,18-24,,,,
Ed Sheeran,soft pop,227841,7370.07,Canada,2024,Tides - Live,Premium,13-17,,,,
Ed Sheeran,soft pop,307735,12503.72,Spain,2024,BLOW - Live,Premium,13-17,,,,
Ed Sheeran,soft pop,852168,38693.86,Germany,2020,Castle on the Hill - Live,Premium,25-34,,,,
Ed Sheeran,soft pop,411908,13501.97,India,2019,Shivers - Live,Free,13-17,,,,
Ed Sheeran,soft pop,565087,27128.51,South Korea,2019,The A Team - Live,Free,13-17,,,,
Ed Sheeran,soft pop,753303,28689.32,UK,2021,Don't/Nina Medley - Live,Premium,13-17,,,,
Ed Sheeran,soft pop,289513,17424.97,Mexico,2022,Lego House - Live,Free,25-34,,,,
Ed Sheeran,soft pop,160423,10000.93,South Africa,2024,Dive - Live,Free,13-17,,,,
Ed Sheeran,soft pop,543960,38054.35,Japan,2022,I See Fire - Live,Free,18-24,,,,
Ed Sheeran,soft pop,812920,45591.72,Italy,2019,Eyes Closed - Live,Free,35-44,,,,
Ed Sheeran,soft pop,142000,4627.87,Canada,2019,Give Me Love - Live,Free,35-44,,,,
Ed Sheeran,soft pop,807949,56240.22,South Korea,2020,Collaborations Medley - Live,Premium,13-17,,,,
Ed Sheeran,soft pop,522260,18327.77,Australia,2019,Lay It All on Me - Live,Premium,13-17,,,,
Ed Sheeran,soft pop,200479,6224.49,Spain,2021,Overpass Graffiti - Live,Free,13-17,,,,
Ed Sheeran,soft pop,677724,33172.1,South Africa,2024,Galway Girl - Live,Free,18-24,,,,
Ed Sheeran,soft pop,701682,48018.47,Italy,2024,Thinking out Loud - Live,Free,13-17,,,,
Ed Sheeran,soft pop,170784,6779.83,Spain,2024,Sing - Live,Free,13-17,,,,
Ed Sheeran,soft pop,81094,2926.69,Japan,2022,Photograph - Live,Premium,45+,,,,
Ed Sheeran,soft pop,659538,32852.77,France,2024,Tenerife Sea - Live,Premium,18-24,,,,
Ed Sheeran,soft pop,254417,11734.73,France,2023,Happier - Live,Free,35-44,,,,
Ed Sheeran,soft pop,274382,18877.73,France,2020,The A Team,Free,13-17,,,,
Ed Sheeran,soft pop,952797,57013.54,Mexico,2022,"You Need Me, I Don't Need You",Free,18-24,,,,
Ed Sheeran,soft pop,924990,61119.01,Brazil,2020,Lego House,Free,25-34,,,,
Ed Sheeran,soft pop,799045,54053.18,Brazil,2023,Give Me Love,Free,18-24,,,,
Ed Sheeran,soft pop,527023,35958.39,Canada,2024,Sing,Premium,45+,,,,
Ed Sheeran,soft pop,280382,16152.58,UK,2021,Don't,Premium,25-34,,,,
Ed Sheeran,soft pop,106353,7032.41,Canada,2019,Thinking out Loud,Free,35-44,,,,
Ed Sheeran,soft pop,933501,45018.9,France,2023,Bloodstream,Free,35-44,,,,
Ed Sheeran,soft pop,877505,33578.68,Italy,2020,Photograph,Free,45+,,,,
Ed Sheeran,soft pop,430387,28508.06,Italy,2019,Tenerife Sea,Premium,13-17,,,,
Ed Sheeran,soft pop,226964,11939.37,Australia,2024,I See Fire,Free,45+,,,,
Ed Sheeran,soft pop,378763,23444.76,Spain,2024,Lay It All on Me (feat. Ed Sheeran),Premium,18-24,,,,
Ed Sheeran,soft pop,939991,31014.35,Spain,2023,Castle on the Hill,Premium,13-17,,,,
Ed Sheeran,soft pop,859429,35765.08,South Korea,2019,Shape of You,Premium,25-34,,,,
Ed Sheeran,soft pop,203586,10906.98,India,2021,Galway Girl,Free,35-44,,,,
Ed Sheeran,soft pop,805738,41941.98,UK,2019,Perfect,Free,13-17,,,,
Ed Sheeran,soft pop,113803,6573.13,Mexico,2022,Happier,Free,13-17,,,,
Ed Sheeran,soft pop,688677,22485.31,Japan,2019,Dive,Free,25-34,,,,
Ed Sheeran,soft pop,439638,22545.88,Brazil,2022,I Don't Care,Free,13-17,,,,
Ed Sheeran,soft pop,799751,39221.4,Australia,2022,Beautiful People (feat. Khalid),Free,18-24,,,,
Ed Sheeran,soft pop,842566,26401.62,South Africa,2019,One,Free,35-44,,,,
Ed Sheeran,soft pop,350289,23953.76,Spain,2019,I'm a Mess,Premium,25-34,,,,
Ed Sheeran,soft pop,924032,28932.33,Mexico,2019,Sing,Free,18-24,,,,
Ed Sheeran,soft pop,832165,27109.93,South Korea,2021,Don't,Free,13-17,,,,
Ed Sheeran,soft pop,767161,24453.54,Italy,2021,Nina,Free,13-17,,,,
Ed Sheeran,soft pop,817419,40068.26,USA,2024,Photograph,Free,18-24,,,,
Ed Sheeran,soft pop,497631,29438.75,Brazil,2023,Bloodstream,Free,13-17,,,,
Ed Sheeran,soft pop,628121,23066.61,Mexico,2022,Tenerife Sea,Free,35-44,,,,
Ed Sheeran,soft pop,631432,38450.31,Japan,2024,Runaway,Free,35-44,,,,
Ed Sheeran,soft pop,429748,24638.34,South Korea,2022,The Man,Premium,18-24,,,,
Ed Sheeran,soft pop,446152,30104.37,Mexico,2023,Thinking out Loud,Free,25-34,,,,
Ed Sheeran,soft pop,100486,6419.47,France,2022,Afire Love,Free,45+,,,,
Ed Sheeran,soft pop,253712,14708.38,Canada,2021,Take It Back,Free,25-34,,,,
Ed Sheeran,soft pop,347746,16840.73,USA,2021,Shirtsleeves,Premium,18-24,,,,
Ed Sheeran,soft pop,326475,22118.53,Mexico,2021,Even My Dad Does Sometimes,Premium,25-34,,,,
Ed Sheeran,soft pop,443647,22279.98,France,2021,I See Fire,Free,13-17,,,,
Ed Sheeran,soft pop,366948,24569.02,Germany,2023,All of the Stars,Premium,35-44,,,,
Ed Sheeran,soft pop,743936,33578.61,South Korea,2022,English Rose,Premium,35-44,,,,
Ed Sheeran,soft pop,194894,6858.57,France,2019,Touch and Go,Premium,18-24,,,,
Ed Sheeran,soft pop,139747,6026.02,Germany,2019,New York,Premium,45+,,,,
Ed Sheeran,soft pop,628002,24364.15,Spain,2020,Magical,Free,45+,,,,
Ed Sheeran,soft pop,455334,16659.25,UK,2022,England,Premium,13-17,,,,
Ed Sheeran,soft pop,954098,43804.52,India,2019,Amazing,Free,25-34,,,,
Ed Sheeran,soft pop,544573,24051.93,France,2021,Plastic Bag,Premium,45+,,,,
Ed Sheeran,soft pop,116068,4566.64,Spain,2024,Blue,Premium,45+,,,,
Ed Sheeran,soft pop,436955,13650.89,Australia,2019,American Town,Premium,13-17,,,,
Ed Sheeran,soft pop,207756,8581.4,France,2022,That’s On Me,Free,25-34,,,,
Ed Sheeran,soft pop,712495,29288.01,Australia,2020,Page,Free,13-17,,,,
Ed Sheeran,soft pop,605235,39840.21,Mexico,2019,Midnight,Premium,18-24,,,,
Ed Sheeran,soft pop,777302,51871.68,Japan,2019,Spring,Free,45+,,,,
Ed Sheeran,soft pop,634934,19902.25,South Korea,2022,Punchline,Free,35-44,,,,
Ed Sheeran,soft pop,299800,9705.57,Netherlands,2020,When Will I Be Alright,Premium,45+,,,,
Ed Sheeran,soft pop,719659,41489.22,Spain,2020,The Day I Was Born,Free,35-44,,,,
Ed Sheeran,soft pop,722747,25521.05,Canada,2019,Head > Heels,Free,35-44,,,,
Ed Sheeran,soft pop,720937,30791.93,Canada,2023,Magical - Live from Brantlie’s Living Room,Free,18-24,,,,
Ed Sheeran,soft pop,900021,56473.97,Mexico,2024,England - Live from Maynard’s Living Room,Premium,25-34,,,,
Ed Sheeran,soft pop,934655,58472.52,Canada,2020,Amazing - Live from Kia’s Living Room,Free,45+,,,,
Ed Sheeran,soft pop,592983,27104.92,South Korea,2023,Plastic Bag - Live from Alex’s Living Room,Free,25-34,,,,
Ed Sheeran,soft pop,546416,23428.51,South Korea,2023,Blue - Live from Sarom’s Living Room,Premium,45+,,,,
Ed Sheeran,soft pop,471159,20637.71,UK,2023,American Town - Live from Kari’s Living Room,Premium,13-17,,,,
Ed Sheeran,soft pop,297326,20438.5,Netherlands,2024,Magical,Free,35-44,,,,
Ed Sheeran,soft pop,586102,35493.07,Spain,2021,England,Premium,18-24,,,,
Ed Sheeran,soft pop,748586,34661.12,Australia,2022,Amazing,Premium,13-17,,,,
Ed Sheeran,soft pop,477240,26539.95,UK,2024,Plastic Bag,Premium,18-24,,,,
Ed Sheeran,soft pop,333876,15611.09,Australia,2021,Blue,Premium,45+,,,,
Ed Sheeran,soft pop,917967,29726.16,Spain,2019,American Town,Premium,35-44,,,,
Ed Sheeran,soft pop,314514,14262.57,India,2022,That’s On Me,Premium,18-24,,,,
Ed Sheeran,soft pop,531721,19020.85,France,2021,Page,Premium,13-17,,,,
Ed Sheeran,soft pop,940098,43426.26,Italy,2021,Midnight,Free,35-44,,,,
Ed Sheeran,soft pop,940558,50658.8,Japan,2023,Spring,Premium,45+,,,,
Ed Sheeran,soft pop,265498,10969.17,UK,2021,Punchline,Premium,45+,,,,
Ed Sheeran,soft pop,857805,42437.12,South Korea,2022,When Will I Be Alright,Premium,25-34,,,,
Ed Sheeran,soft pop,581185,35043.55,Germany,2022,The Day I Was Born,Free,45+,,,,
Ed Sheeran,soft pop,784906,32547.43,Brazil,2019,Head > Heels,Free,45+,,,,
Ed Sheeran,soft pop,963544,58074.38,Australia,2021,Boat,Premium,45+,,,,
Ed Sheeran,soft pop,56403,3666.0,Spain,2022,Salt Water,Premium,45+,,,,
Ed Sheeran,soft pop,382263,17158.32,Italy,2020,Eyes Closed,Free,25-34,,,,
Ed Sheeran,soft pop,376610,18898.68,Brazil,2019,Life Goes On,Free,18-24,,,,
Ed Sheeran,soft pop,94004,4769.76,France,2020,Dusty,Free,18-24,,,,
Ed Sheeran,soft pop,741750,49540.51,South Korea,2024,End Of Youth,Premium,13-17,,,,
Ed Sheeran,soft pop,188081,9993.3,South Africa,2021,Colourblind,Free,25-34,,,,
Ed Sheeran,soft pop,963828,58140.59,Italy,2021,Curtains,Premium,35-44,,,,
Ed Sheeran,soft pop,868207,50193.29,France,2021,Borderline,Premium,45+,,,,
Ed Sheeran,soft pop,462880,18895.41,Australia,2019,Spark,Premium,13-17,,,,
Ed Sheeran,soft pop,583982,23879.28,Brazil,2020,Vega,Premium,45+,,,,
Ed Sheeran,soft pop,54817,3269.43,France,2019,Sycamore,Premium,45+,,,,
Ed Sheeran,soft pop,816058,29812.07,South Korea,2019,No Strings,Premium,18-24,,,,
Ed Sheeran,soft pop,382628,25991.9,India,2024,The Hills of Aberfeldy,Free,35-44,,,,
Ed Sheeran,soft pop,158339,6545.72,France,2022,Wildflowers - Bonus Track,Free,35-44,,,,
Ed Sheeran,soft pop,946255,51045.41,France,2023,Stoned - Bonus Track,Free,25-34,,,,
Ed Sheeran,soft pop,475667,15533.81,Japan,2024,Toughest - Bonus Track,Free,25-34,,,,
Ed Sheeran,soft pop,159012,5993.47,South Africa,2019,Moving - Bonus Track,Premium,13-17,,,,
Ed Sheeran,soft pop,627443,28430.89,Japan,2024,Tides,Free,13-17,,,,
Ed Sheeran,soft pop,910957,63053.69,Spain,2024,Shivers,Free,45+,,,,
Ed Sheeran,soft pop,651101,26071.2,Mexico,2024,First Times,Free,13-17,,,,
Ed Sheeran,soft pop,553140,24609.98,Netherlands,2021,Bad Habits,Premium,13-17,,,,
Ed Sheeran,soft pop,294688,20433.75,South Africa,2019,Overpass Graffiti,Premium,18-24,,,,
Ed Sheeran,soft pop,475046,24650.97,Brazil,2019,The Joker And The Queen,Free,13-17,,,,
Ed Sheeran,soft pop,256035,9984.23,France,2020,Leave Your Life,Free,25-34,,,,
Ed Sheeran,soft pop,466787,21165.82,Germany,2020,Collide,Premium,45+,,,,
Ed Sheeran,soft pop,799901,41040.3,Spain,2022,2step,Premium,18-24,,,,
Ed Sheeran,soft pop,345899,12537.92,South Africa,2023,Stop The Rain,Premium,45+,,,,
Ed Sheeran,soft pop,790670,55324.67,South Korea,2020,Love In Slow Motion,Premium,35-44,,,,
Ed Sheeran,soft pop,476188,28436.46,Japan,2019,Visiting Hours,Premium,35-44,,,,
Ed Sheeran,soft pop,549865,17028.85,Spain,2024,Sandman,Premium,45+,,,,
Ed Sheeran,soft pop,667589,41172.55,India,2021,Be Right Now,Premium,25-34,,,,
Ed Sheeran,soft pop,981047,64699.42,South Africa,2019,Afterglow,Free,45+,,,,
Ed Sheeran,soft pop,622003,28385.72,Netherlands,2021,One Life,Premium,25-34,,,,
Ed Sheeran,soft pop,840975,28261.07,Mexico,2021,Penguins,Premium,45+,,,,
Ed Sheeran,soft pop,844224,29418.17,France,2020,I Will Remember You,Free,18-24,,,,
Ed Sheeran,soft pop,956899,53580.97,France,2022,Welcome To The World,Free,13-17,,,,
Ed Sheeran,soft pop,210775,11611.43,UK,2021,The Joker And The Queen (feat. Taylor Swift),Premium,25-34,,,,
Ed Sheeran,soft pop,176606,6540.26,Australia,2024,Tides,Premium,13-17,,,,
Ed Sheeran,soft pop,413033,15793.96,India,2021,Shivers,Free,45+,,,,
Ed Sheeran,soft pop,616047,39845.85,Japan,2021,First Times,Free,18-24,,,,
Ed Sheeran,soft pop,406032,28035.02,Brazil,2020,Bad Habits,Premium,35-44,,,,
Ed Sheeran,soft pop,379485,20216.31,Italy,2021,Overpass Graffiti,Free,13-17,,,,
Ed Sheeran,soft pop,249515,16131.72,South Korea,2021,The Joker And The Queen,Free,35-44,,,,
Ed Sheeran,soft pop,672957,33038.15,France,2024,Leave Your Life,Premium,13-17,,,,
Ed Sheeran,soft pop,535956,30246.91,USA,2023,Collide,Free,45+,,,,
Ed Sheeran,soft pop,891896,60722.8,USA,2020,2step,Free,45+,,,,
Ed Sheeran,soft pop,268288,16468.5,USA,2021,Stop The Rain,Premium,13-17,,,,
Ed Sheeran,soft pop,796128,41672.2,South Africa,2020,Love In Slow Motion,Premium,35-44,,,,
Ed Sheeran,soft pop,256284,12988.77,Germany,2022,Visiting Hours,Free,35-44,,,,
Ed Sheeran,soft pop,612076,41194.02,France,2022,Sandman,Premium,35-44,,,,
Ed Sheeran,soft pop,855575,42610.2,France,2024,Be Right Now,Free,18-24,,,,
Ed Sheeran,soft pop,358355,24331.44,France,2020,2step (feat. Lil Baby),Premium,35-44,,,,
Ed Sheeran,soft pop,835890,53740.82,Italy,2020,2step (feat. Ultimo),Premium,18-24,,,,
Ed Sheeran,soft pop,174051,9705.65,South Africa,2022,2step (feat. Potter Payper),Premium,18-24,,,,
Ed Sheeran,soft pop,963965,62893.48,USA,2019,2step (feat. Antytila),Free,35-44,,,,
Ed Sheeran,soft pop,272899,15065.97,Italy,2022,2step (feat. Leto),Premium,13-17,,,,
Ed Sheeran,soft pop,580622,24893.75,Brazil,2021,2step (feat. Ellinoora),Free,13-17,,,,
Ed Sheeran,soft pop,558715,38697.0,Brazil,2021,2step (feat. 1.Cuz),Free,45+,,,,
Ed Sheeran,soft pop,752226,24514.57,USA,2024,2step (feat. Budjerah),Free,45+,,,,
Ed Sheeran,soft pop,518737,27330.26,France,2024,2step (Star.One Remix),Premium,35-44,,,,
Ed Sheeran,soft pop,672639,39643.97,South Korea,2019,2step (feat. Chefin),Premium,13-17,,,,
Ed Sheeran,soft pop,157232,10278.93,Netherlands,2024,2step (feat. reezy),Free,18-24,,,,
Ed Sheeran,soft pop,637583,24285.37,Italy,2024,2step (feat. Quevedo),Free,45+,,,,
Ed Sheeran,soft pop,85198,3493.2,USA,2020,2step (feat. Denise Chaila),Free,25-34,,,,
Ed Sheeran,soft pop,642250,41707.49,Netherlands,2022,2step (feat. Armaan Malik),Free,45+,,,,
Ed Sheeran,soft pop,748160,46587.0,Canada,2021,Beautiful People (feat. Khalid),Premium,45+,,,,
Ed Sheeran,soft pop,790325,47779.06,Japan,2024,South of the Border (feat. Camila Cabello & Cardi B),Free,25-34,,,,
Ed Sheeran,soft pop,446170,26565.93,Australia,2023,Cross Me (feat. Chance the Rapper & PnB Rock),Premium,18-24,,,,
Ed Sheeran,soft pop,581351,19815.59,France,2019,Take Me Back to London (feat. Stormzy),Premium,18-24,,,,
Ed Sheeran,soft pop,276154,18594.32,Spain,2023,Best Part of Me (feat. YEBBA),Free,25-34,,,,
Ed Sheeran,soft pop,211437,11451.2,India,2024,I Don't Care (with Justin Bieber),Premium,18-24,,,,
Ed Sheeran,soft pop,313969,18712.69,Australia,2021,Antisocial (with Travis Scott),Premium,18-24,,,,
Ed Sheeran,soft pop,323819,12381.01,Mexico,2024,Remember The Name (feat. Eminem & 50 Cent),Free,25-34,,,,
Ed Sheeran,soft pop,585325,32531.73,South Korea,2023,Feels (feat. Young Thug & J Hus),Free,25-34,,,,
Ed Sheeran,soft pop,560832,22779.92,Australia,2021,Put It All on Me (feat. Ella Mai),Free,25-34,,,,
Ed Sheeran,soft pop,828798,35383.13,Canada,2022,Nothing On You (feat. Paulo Londra & Dave),Premium,45+,,,,
Ed Sheeran,soft pop,107666,3599.93,Mexico,2022,I Don't Want Your Money (feat. H.E.R.),Free,45+,,,,
Ed Sheeran,soft pop,92245,5237.02,South Africa,2020,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),Free,25-34,,,,
Ed Sheeran,soft pop,195160,13321.96,Brazil,2022,Way To Break My Heart (feat. Skrillex),Premium,35-44,,,,
Ed Sheeran,soft pop,184149,10367.91,Germany,2020,BLOW (with Chris Stapleton & Bruno Mars),Premium,45+,,,,
Post Malone,Pop,659329,43764.36,Brazil,2024,Wrong Ones (Feat. Tim McGraw),Premium,25-34,,,,
Post Malone,Pop,397683,19821.24,UK,2020,Finer Things (Feat. Hank Williams Jr.),Premium,25-34,,,,
Post Malone,Pop,546956,31008.24,Brazil,2024,I Had Some Help (Feat. Morgan Wallen),Free,25-34,,,,
Post Malone,Pop,139424,7570.03,Netherlands,2022,Pour Me A Drink (Feat. Blake Shelton),Premium,35-44,,,,
Post Malone,Pop,308948,14417.64,Netherlands,2019,Have The Heart (Feat. Dolly Parton),Free,45+,,,,
Post Malone,Pop,435211,24406.45,Italy,2024,What Don't Belong To Me,Premium,13-17,,,,
Post Malone,Pop,849231,35114.88,Australia,2021,Goes Without Saying (Feat. Brad Paisley),Free,35-44,,,,
Post Malone,Pop,380632,16957.85,Italy,2021,Guy For That (Feat. Luke Combs),Premium,35-44,,,,
Post Malone,Pop,918609,61735.33,South Africa,2021,Nosedive (Feat. Lainey Wilson),Premium,45+,,,,
Post Malone,Pop,765281,50428.48,Mexico,2019,Losers (Feat. Jelly Roll),Premium,35-44,,,,
Post Malone,Pop,357507,14578.36,Brazil,2021,Devil I've Been (Feat. ERNEST),Premium,13-17,,,,
Post Malone,Pop,446040,18697.45,India,2020,Never Love You Again (Feat. Sierra Ferrell),Free,45+,,,,
Post Malone,Pop,713562,38805.93,USA,2024,Missin’ You Like This (Feat. Luke Combs),Free,13-17,,,,
Post Malone,Pop,588357,30538.62,USA,2023,California Sober (Feat. Chris Stapleton),Premium,18-24,,,,
Post Malone,Pop,938425,57589.92,Australia,2020,Hide My Gun (Feat. HARDY),Free,35-44,,,,
Post Malone,Pop,368453,19757.38,USA,2020,Right About You,Premium,35-44,,,,
Post Malone,Pop,111280,5946.76,Spain,2019,M-E-X-I-C-O (Feat. Billy Strings),Premium,25-34,,,,
Post Malone,Pop,271408,16442.74,USA,2019,Yours,Premium,25-34,,,,
Post Malone,Pop,93987,3884.65,Germany,2020,Fallin’ In Love,Free,18-24,,,,
Post Malone,Pop,138075,4567.97,South Korea,2021,Dead At The Honky Tonk,Premium,35-44,,,,
Post Malone,Pop,816959,33766.78,Italy,2022,Wrong Ones (Feat. Tim McGraw),Free,35-44,,,,
Post Malone,Pop,578931,26261.62,Mexico,2019,Finer Things (Feat. Hank Williams Jr.),Free,25-34,,,,
Post Malone,Pop,937808,63379.92,Italy,2024,I Had Some Help (Feat. Morgan Wallen),Free,25-34,,,,
Post Malone,Pop,580425,23462.35,USA,2021,Pour Me A Drink (Feat. Blake Shelton),Premium,35-44,,,,
Post Malone,Pop,233845,15773.86,South Korea,2019,Have The Heart (Feat. Dolly Parton),Premium,25-34,,,,
Post Malone,Pop,404922,13041.8,Japan,2022,What Don't Belong To Me,Free,13-17,,,,
Post Malone,Pop,560976,29148.52,Netherlands,2022,Goes Without Saying (Feat. Brad Paisley),Free,13-17,,,,
Post Malone,Pop,961100,66768.06,USA,2020,Guy For That (Feat. Luke Combs),Premium,18-24,,,,
Post Malone,Pop,207611,9733.55,South Korea,2024,Nosedive (Feat. Lainey Wilson),Free,35-44,,,,
Post Malone,Pop,905702,40311.41,South Korea,2019,Losers (Feat. Jelly Roll),Free,45+,,,,
Post Malone,Pop,349529,23610.01,Italy,2023,Devil I've Been (Feat. ERNEST),Premium,35-44,,,,
Post Malone,Pop,527011,28441.0,Brazil,2023,Never Love You Again (Feat. Sierra Ferrell),Premium,13-17,,,,
Post Malone,Pop,225344,9071.43,USA,2019,Missin’ You Like This (Feat. Luke Combs),Free,18-24,,,,
Post Malone,Pop,348466,20654.99,France,2021,California Sober (Feat. Chris Stapleton),Free,35-44,,,,
Post Malone,Pop,794582,40211.12,USA,2022,Hide My Gun (Feat. HARDY),Free,18-24,,,,
Post Malone,Pop,364628,23481.46,Mexico,2019,Right About You,Premium,25-34,,,,
Post Malone,Pop,440808,25565.49,India,2023,M-E-X-I-C-O (Feat. Billy Strings),Premium,35-44,,,,
Post Malone,Pop,370079,15903.3,USA,2020,Yours,Premium,45+,,,,
Post Malone,Pop,886379,41743.53,South Africa,2021,Don't Understand,Premium,25-34,,,,
Post Malone,Pop,606383,25978.29,India,2022,Something Real,Premium,35-44,,,,
Post Malone,Pop,687227,45106.4,Japan,2020,Chemical,Free,25-34,,,,
Post Malone,Pop,330764,12808.87,Mexico,2024,Novacandy,Free,13-17,,,,
Post Malone,Pop,140416,4496.65,India,2022,Mourning,Free,45+,,,,
Post Malone,Pop,408063,19749.29,Netherlands,2019,Too Cool To Die,Free,13-17,,,,
Post Malone,Pop,914563,59583.84,Germany,2023,Sign Me Up,Premium,13-17,,,,
Post Malone,Pop,516370,21663.26,South Africa,2023,Socialite,Free,35-44,,,,
Post Malone,Pop,683003,46126.93,South Korea,2023,Overdrive,Premium,13-17,,,,
